,Shed,Concretehouse,Cementroad,Dirtroad,Reinforcedslope,Reinforcedscarp,Dam,Vegetablefield,Grassland,Dryland,Woodland,Bareland,Waterline,Ditch,Others
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_1/Area_1_3,45652,78771,73581,0,0,0,0,693739,799704,12304,500241,24925,0,69134,77520
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_7/Area_7_4,0,16373,28854,0,0,0,0,402227,143838,15249,481767,30104,0,0,3086
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_7/Area_7_1,0,0,21589,0,0,0,0,235642,351064,0,0,300665,100107,93092,3996
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_7/Area_7_3,0,0,0,0,0,0,0,700791,260661,22271,426701,27203,0,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_7/Area_7_2,0,0,0,0,0,0,0,1293870,299296,22271,50652,605569,14137,67941,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_4/Area_4_1,5282,0,27878,0,0,0,0,1579439,11947,0,0,3167,0,8660,177
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_4/Area_4_4,432,0,1099,11755,0,0,0,641813,557087,812605,55015,13059,0,85801,4373
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_4/Area_4_3,0,0,44439,0,0,0,0,1154662,294298,23752,324345,0,0,85110,1478
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_4/Area_4_2,0,0,0,0,0,0,0,1216587,0,15931,0,0,0,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_14/Area_14_3,0,0,0,0,0,0,0,1487506,265537,36924,193811,33744,0,152146,42
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_14/Area_14_4,0,0,132347,0,0,0,0,1799038,250776,0,87236,13985,1123,105485,5173
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_14/Area_14_1,78892,0,37451,0,0,0,0,1179883,366286,55352,51649,5747,0,0,6263
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_14/Area_14_2,16837,10084,87637,0,0,0,0,337317,294312,45866,101003,53539,0,0,3253
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_9/Area_9_4,2143847,0,767367,0,0,0,0,187051,802116,32240,41156,278751,0,0,228413
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_9/Area_9_3,38004,595148,1200032,0,0,0,0,218674,806398,11313,484104,242192,0,0,197818
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_9/Area_9_2,174155,130039,102785,104434,0,0,0,240824,730114,32604,971615,598542,0,0,208443
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_9/Area_9_1,298978,30675,246666,0,0,0,0,0,148290,0,890460,0,0,0,421285
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_6/Area_6_4,82650,0,21569,21584,0,0,0,0,486214,0,150650,296191,155392,81840,9112
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_6/Area_6_1,0,0,0,0,0,0,0,1317050,619369,0,288148,108385,3626,155339,8505
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_6/Area_6_3,0,7265,0,180186,0,0,0,0,288457,0,0,33321,56863,7061,4859
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_2/Area_2_3,3680,53524,123373,0,0,0,0,1176797,307736,109772,536463,0,0,107532,2520
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_2/Area_2_2,3484,21361,69593,0,0,0,0,885528,146762,492935,810438,0,44741,16211,22971
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_2/Area_2_1,0,0,46822,0,0,0,0,779989,197476,0,0,26066,544798,32280,36092
/data/Zhong_Shui/Pro_Data_preprocess/Work_2/Area_2/Area_2_4,1766,0,37312,0,0,0,0,1511702,422913,29703,344403,2090,0,239434,17830
