,Shed,Concretehouse,Cementroad,Dirtroad,Reinforcedslope,Reinforcedscarp,Dam,Vegetablefield,Grassland,Dryland,Woodland,Bareland,Waterline,Ditch,Others
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_3,18327,0,24294,0,0,0,0,0,12234,0,0,197761,352829,0,64393
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_1,163802,0,89003,0,0,0,0,0,62463,0,0,106467,370533,0,49391
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_11,43728,35886,72225,0,0,0,0,31836,9774,33512,64531,131220,4418,0,113811
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_16,60910,162906,231823,1508,0,0,0,8145,237451,12850,119716,208741,0,49230,273584
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_9,0,0,0,15202,0,0,0,0,0,0,0,92244,433571,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_15,98936,152221,98454,0,2761,0,0,17614,196900,3711,116539,84490,3361,0,113805
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_6,0,0,0,8064,0,0,0,0,2155,0,0,138344,485327,0,4908
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_8,0,0,11399,15954,0,0,0,0,2284,0,0,139754,531767,0,29475
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_7,0,0,0,10459,0,0,0,0,0,0,0,117527,480226,0,1739
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_5,39606,0,37978,4245,0,0,0,0,12880,0,0,199797,314663,0,100496
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_2,52438,0,42833,7495,0,0,0,0,23730,0,0,142959,330206,0,71592
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_4,44817,0,37794,0,0,0,0,0,698,0,0,175864,324215,0,54447
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_13,99778,74361,61404,0,0,0,0,42083,17080,7977,142757,45494,33737,0,48843
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_12,106242,68683,39876,2991,0,0,0,41072,28728,0,80688,68761,5336,0,82604
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_10,0,0,0,25797,17442,0,0,0,0,0,0,196050,488003,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_8/Area_8_14,48883,0,60130,11960,3595,0,0,0,89281,0,0,212776,0,53294,150244
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_1,0,0,30727,0,0,0,108051,0,199784,0,0,242142,12693,0,78313
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_15,0,464,26214,21993,93857,0,0,0,39659,0,0,99995,202061,0,74031
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_2,7395,0,85880,0,15874,29192,187731,0,19282,0,0,0,339431,0,30574
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_6,0,0,17113,0,57071,113896,0,0,24662,0,0,21077,456450,0,20420
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_7,0,45491,7748,0,28799,38941,0,0,15847,0,0,13331,250966,0,700
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_16,0,701,0,15643,4335,0,0,0,7066,0,0,240307,287785,0,12023
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_3,0,0,8355,0,37508,46469,21861,0,21431,0,0,0,272501,0,20928
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_9,0,1706,20405,0,39083,23916,0,0,31883,0,0,26870,240975,0,2450
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_5,0,0,48298,0,5384,140685,0,0,223042,0,0,421988,38484,0,85239
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_11,11687,0,37216,27050,23185,0,0,0,271047,0,0,122837,36358,0,71095
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_12,89141,5208,101229,34250,47552,0,0,0,162413,0,0,101094,99243,0,34622
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_14,0,0,13730,2147,99069,1518,0,0,6906,0,0,50770,599000,0,627
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_13,0,6386,25182,7660,70492,55649,0,0,54759,0,0,31830,140582,0,49844
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_10,0,0,38270,40082,0,0,0,0,112830,0,0,56589,0,0,215187
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_8,0,0,24602,18789,23752,21814,0,0,136874,0,0,158284,34960,0,132830
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_3/Area_3_4,0,0,21596,0,0,0,31906,0,130167,0,0,160236,1564,0,31471
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_3,0,0,0,0,0,0,0,0,0,0,1399316,0,908724,0,987
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_7,0,0,0,0,0,0,0,0,0,0,769632,21877,580483,0,30497
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_4,0,0,0,0,0,0,0,0,0,0,1350099,0,751982,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_8,0,0,0,0,0,0,0,0,0,0,1579497,76838,1125850,0,34112
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_6,0,0,0,0,0,0,0,0,0,0,1110329,7558,721092,0,8407
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_2,0,0,0,0,0,0,0,0,0,0,1278620,0,724965,0,47335
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_1,0,0,0,0,0,0,0,0,0,0,1191292,0,618635,0,71505
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_5/Area_5_5,0,0,0,0,0,0,0,0,0,0,1282995,0,725971,0,13689
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_6,0,0,48557,0,69266,20322,0,0,71838,0,0,15542,315678,0,10351
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_2,0,0,0,14241,0,0,0,0,31693,0,0,127320,458411,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_15,0,0,35636,0,84791,0,0,0,123884,0,181534,158082,196746,103273,14313
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_11,6827,0,57811,0,0,0,0,0,94535,0,356437,113130,82561,0,45093
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_1,0,7386,15634,0,51742,0,0,0,35195,0,0,188641,902691,25663,8364
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_4,0,0,70506,6902,67416,0,0,0,103273,0,0,70865,346189,0,1576
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_9,0,0,7835,0,0,0,0,0,377565,0,158774,43568,15732,0,0
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_7,3926,0,58138,0,51279,0,0,0,52709,0,132222,155853,470596,0,830
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_5,0,0,7020,0,117981,0,0,0,190666,0,0,4029,271001,0,30195
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_14,10518,2882,25176,9593,46411,10699,0,0,288596,10373,89230,240890,157956,126116,56874
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_12,0,0,67294,0,30775,3688,0,0,171136,0,0,51739,4416,0,20388
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_16,0,0,0,26578,0,0,0,0,34092,0,213580,152048,674231,0,62825
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_10,23109,0,16197,0,0,0,0,0,119255,0,172882,41693,46660,0,26835
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_3,0,0,16047,0,49107,0,0,0,40151,0,0,298914,523647,6098,14875
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_8,46201,0,6881,0,0,0,0,0,37917,0,444284,3958,12132,0,2435
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_1/Area_1_13,6228,0,13937,0,43760,0,0,0,3089,0,26588,230092,329129,98004,4646
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_11,3556,0,67220,0,151297,0,0,0,3175,0,0,281528,247379,0,44983
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_7,2988,0,37536,0,29717,3943,203233,0,290772,0,0,79588,731,0,20093
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_14,66821,284410,20637,0,14633,0,0,0,17332,0,52490,63097,255346,0,35600
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_4,508,0,72657,0,30788,19492,377974,0,9167,0,0,0,52855,0,92515
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_16,31489,89781,62259,34188,21951,0,0,4514,5082,0,114401,291339,704843,0,26103
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_15,197497,713649,111314,0,0,0,0,48943,164484,8411,1876568,273147,47720,0,165598
/data/Zhong_Shui/Pro_Data_preprocess/Work_1/Area_7/Area_7_5,0,0,69221,26397,192094,0,332314,0,41027,0,0,129119,0,0,130749
